Symbol,Date,Open,High,Low,Close,Volume
A,27-Sep-2018,70.58,70.85,70.1,70.8,1581600
AA,27-Sep-2018,40.38,40.81,40.08,40.5,2842700
AAAU,27-Sep-2018,11.85,11.87,11.83,11.84,25300
AABA,27-Sep-2018,68.43,68.73,68.05,68.48,7421400
AAC,27-Sep-2018,7.19,7.41,7.1,7.28,467000
AADR,27-Sep-2018,53.45,53.78,53.4,53.65,40900
AAL,27-Sep-2018,41.23,42.2,41.15,41.5,5654600
AAMC,27-Sep-2018,59.5,60.55,59.5,60.55,700
AAME,27-Sep-2018,2.575,2.575,2.3,2.5,9800
AAN,27-Sep-2018,54.03,54.64,53.78,54.28,366300
AAOI,27-Sep-2018,28.18,28.52,26.71,28.36,4045300
AAON,27-Sep-2018,37.95,38.16,37.1,37.25,308300
AAP,27-Sep-2018,169.42,170.92,169.17,169.79,739700
AAPL,27-Sep-2018,223.82,226.44,223.54,224.95,30181200
AAT,27-Sep-2018,36.85,37.15,36.78,36.85,102900
AAU,27-Sep-2018,0.65,0.65,0.61,0.63,51200
AAWW,27-Sep-2018,63.4,63.9,63.25,63.55,123800
AAXJ,27-Sep-2018,70.93,71.23,70.82,71.01,2360300
AAXN,27-Sep-2018,66.75,67.94,66.4,67.61,352400
AB,27-Sep-2018,30.6,30.95,30.5,30.55,165300
ABAC,27-Sep-2018,2.1,2.25,2.02,2.03,15200
ABB,27-Sep-2018,23.71,23.825,23.67,23.71,1671700
ABBV,27-Sep-2018,94.35,94.89,93.96,94.14,3028600
ABC,27-Sep-2018,90.34,91.49,90.34,91.15,948700
ABCB,27-Sep-2018,46.1,46.45,45.2,45.3,219800
ABCD,27-Sep-2018,11.65,11.92,11.55,11.78,70400
ABDC,27-Sep-2018,6.05,6.16,5.94,5.995,178900
ABEO,27-Sep-2018,13.05,13.25,12.85,13,278700
ABEV,27-Sep-2018,4.67,4.775,4.62,4.63,30249100
ABG,27-Sep-2018,70.2,70.2,69.55,70,116300
ABIL,27-Sep-2018,3.58,3.66,3.25,3.35,161000
ABIO,27-Sep-2018,0.54,0.56,0.53,0.54,110600
ABM,27-Sep-2018,32.72,33.02,32.27,32.3,376600
ABMD,27-Sep-2018,445.5,451.79,437.095,442.89,621000
ABR,27-Sep-2018,11.25,11.39,11.23,11.33,627300
ABR-A,27-Sep-2018,25.6,25.6,25.5,25.5,900
ABR-B,27-Sep-2018,25.55,25.6,25.51,25.6,1400
ABR-C,27-Sep-2018,26.21,26.21,26.19,26.21,400
ABT,27-Sep-2018,73.02,73.18,72.69,73.02,5493800
ABTX,27-Sep-2018,40.75,42.45,40.75,41.5,42600
ABUS,27-Sep-2018,9.8,10,9.5,9.7,207300
ABX,27-Sep-2018,10.72,11.27,10.72,11.13,27075800
AC,27-Sep-2018,39.4,39.4,38.25,38.4,16300
ACAD,27-Sep-2018,21.06,22.22,21.02,21.81,3049600
ACBI,27-Sep-2018,17,17.05,16.75,16.8,40700
ACC,27-Sep-2018,40.96,41.2,40.65,40.76,466200
ACCO,27-Sep-2018,11.55,11.6,11.45,11.45,417600
ACER,27-Sep-2018,29.78,30.895,29.2,29.21,59600
ACES,27-Sep-2018,25.61,25.61,25.61,25.61,100
ACET,27-Sep-2018,2.45,2.46,2.37,2.39,1101400
ACGL,27-Sep-2018,29.63,29.87,29.54,29.59,723100
ACGLO,27-Sep-2018,23.6,23.64,23.43,23.5,23400
ACGLP,27-Sep-2018,23.25,23.26,23.085,23.21,30500
ACH,27-Sep-2018,10.71,10.75,10.62,10.69,26000
ACHC,27-Sep-2018,34.52,35.03,34.34,34.53,844500
ACHN,27-Sep-2018,3.76,3.86,3.65,3.71,1219000
ACHV,27-Sep-2018,4.17,5.25,3.79,3.81,49061700
ACIA,27-Sep-2018,41.95,42.68,41.125,41.55,418500
ACIM,27-Sep-2018,81.38,81.38,81.2,81.2,2000
ACIU,27-Sep-2018,8.3,8.3,8.14,8.2,30500
ACIW,27-Sep-2018,28.31,28.51,28.14,28.19,458800
ACLS,27-Sep-2018,19.8,20.1,19.45,19.55,315600
ACM,27-Sep-2018,32.5,32.77,32.37,32.62,525500
ACMR,27-Sep-2018,11.05,11.24,10.77,10.85,36900
ACN,27-Sep-2018,168.93,173.93,168.7,170.05,3112700
ACNB,27-Sep-2018,37.8,38.7,37.35,37.95,4500
ACOR,27-Sep-2018,19.2,19.95,19.04,19.75,353700
ACP,27-Sep-2018,14.25,14.3,14.2,14.27,52800
ACRE,27-Sep-2018,13.75,13.89,13.72,13.83,90400
ACRS,27-Sep-2018,15.16,15.49,14.99,15.01,146600
ACRX,27-Sep-2018,4.1,4.2,3.9,4.05,1962600
ACSI,27-Sep-2018,34.155,34.155,34.07,34.07,1500
ACST,27-Sep-2018,0.87,1.1,0.87,0.99,5229800
ACT,27-Sep-2018,27.03,27.135,26.99,27.08,2600
ACTG,27-Sep-2018,3.25,3.25,3.15,3.2,150100
ACU,27-Sep-2018,21.5,21.63,21.5,21.63,400
ACV,27-Sep-2018,25.07,25.11,24.985,25.09,33800
ACWF,27-Sep-2018,30.8,30.91,30.73,30.74,7700
ACWI,27-Sep-2018,74.43,74.82,74.42,74.44,2164600
ACWV,27-Sep-2018,87.46,87.985,87.46,87.65,153500
ACWX,27-Sep-2018,48.11,48.28,48.05,48.07,335700
ACXM,27-Sep-2018,49.17,49.82,48.76,48.93,789500
ACY,27-Sep-2018,15.8,15.8,15.8,15.8,100
ADAP,27-Sep-2018,12.25,13.41,12.25,13.2,667100
ADBE,27-Sep-2018,270,272.42,269.25,269.91,1735100
ADC,27-Sep-2018,51.71,52.2,51.66,51.84,196500
ADES,27-Sep-2018,11.76,11.8,11.7,11.78,50100
ADI,27-Sep-2018,92.31,92.54,91.61,92.18,1963700
ADIL,27-Sep-2018,2.75,2.99,2.75,2.87,2200
ADM,27-Sep-2018,49.12,49.73,49.12,49.45,1741700
ADMA,27-Sep-2018,6.25,6.33,6.12,6.2,165900
ADMP,27-Sep-2018,4,4.25,3.8,4.025,2275700
ADMS,27-Sep-2018,19.18,19.36,18.88,19.2,304800
ADNT,27-Sep-2018,40.55,40.64,39.75,39.77,784900
ADOM,27-Sep-2018,0.57,0.62,0.56,0.575,130800
ADP,27-Sep-2018,149.78,150.26,149.37,149.91,957100
ADRA,27-Sep-2018,32.78,32.78,32.78,32.78,100
ADRD,27-Sep-2018,22.72,22.72,22.675,22.72,3200
ADRE,27-Sep-2018,40.61,40.85,40.61,40.75,1500
ADRO,27-Sep-2018,6.05,6.85,6.05,6.6,674100
ADS,27-Sep-2018,238.99,238.99,235.76,236.24,355700
ADSK,27-Sep-2018,155.36,156.51,154.87,156,1026100
ADSW,27-Sep-2018,27.05,27.11,26.975,27.01,161700
ADT,27-Sep-2018,9.36,9.58,9.29,9.39,2025200
ADTN,27-Sep-2018,18.15,18.15,17.45,17.45,267800
ADUS,27-Sep-2018,71.3,71.65,69.1,69.7,138800
ADVM,27-Sep-2018,6,6.175,5.925,6.1,552800
ADX,27-Sep-2018,16.68,16.82,16.68,16.75,136500
ADXS,27-Sep-2018,0.913,0.965,0.901,0.94,991300
ADXSW,27-Sep-2018,0.021,0.035,0.021,0.035,21500
AE,27-Sep-2018,40.73,41.85,40.73,41.85,4800
AEB,27-Sep-2018,24.35,24.6,24.34,24.4,10600
AED,27-Sep-2018,25.73,25.8,25.71,25.71,15800
AEE,27-Sep-2018,62.35,62.9,62.14,62.57,1307300
AEF,27-Sep-2018,6.77,6.87,6.77,6.86,91700
AEG,27-Sep-2018,6.62,6.64,6.55,6.56,1055500
AEGN,27-Sep-2018,24.45,25.05,24.2,24.93,97600
AEH,27-Sep-2018,25.64,25.68,25.63,25.64,22500
AEHR,27-Sep-2018,2.42,2.44,2.28,2.32,98300
AEIS,27-Sep-2018,50.79,51.77,50.5,51.71,302400
AEL,27-Sep-2018,35.03,35.59,34.7,35.3,402300
AEM,27-Sep-2018,33.5,34.14,33.2,33.95,1328500
AEMD,27-Sep-2018,1.17,1.2,1.17,1.17,33400
AEO,27-Sep-2018,24.46,24.87,24.24,24.68,3905600
AEP,27-Sep-2018,68.94,69.99,68.93,69.76,2318800
AER,27-Sep-2018,57.19,57.55,57.08,57.27,922200
AERI,27-Sep-2018,60.8,62.25,59.5,61.95,461500
AES,27-Sep-2018,13.62,13.77,13.55,13.7,4194400
AET,27-Sep-2018,202.77,203.51,201.87,202.68,2241000
AETI,27-Sep-2018,0.72,0.75,0.71,0.71,25100
AEY,27-Sep-2018,1.405,1.43,1.37,1.37,28800
AEYE,27-Sep-2018,9.06,9.4,9.06,9.2,5700
AEZS,27-Sep-2018,1.7,1.76,1.7,1.74,47400
AFB,27-Sep-2018,12.26,12.34,12.25,12.34,76900
AFC,27-Sep-2018,25.73,25.82,25.66,25.82,6400
AFG,27-Sep-2018,110.52,111.12,110.02,110.07,216900
AFGE,27-Sep-2018,25.51,25.56,25.51,25.51,2100
AFGH,27-Sep-2018,25.32,25.41,25.32,25.34,6500
AFH,27-Sep-2018,10.1,10.175,10.05,10.05,16000
AFHBL,27-Sep-2018,25.35,25.37,25.35,25.37,400
AFI,27-Sep-2018,18.31,18.64,18.09,18.3,146200
AFIF,27-Sep-2018,10.03,10.05,9.96,10.03,3900
AFIN,27-Sep-2018,15.2,15.45,14.84,14.95,409600
AFK,27-Sep-2018,21.48,21.7,21.19,21.6,5600
AFL,27-Sep-2018,47.01,47.35,46.88,47.05,1893800
AFMD,27-Sep-2018,4.35,4.45,4.1,4.35,863900
AFS-A,27-Sep-2018,15.63,16.54,15.555,16.54,33900
AFS-B,27-Sep-2018,16.4,17,16.2,17,13600
AFS-C,27-Sep-2018,17.22,17.92,17.1,17.9,19300
AFS-D,27-Sep-2018,17.16,18.15,17.11,18.15,34300
AFS-E,27-Sep-2018,17.62,18.5,17.42,18.35,26300
AFS-F,27-Sep-2018,15.67,17,15.67,16.89,52700
AFSI,27-Sep-2018,14.65,14.66,14.48,14.5,839200
AFSS,27-Sep-2018,22.72,23.45,22.72,23.1,20000
AFST,27-Sep-2018,24.17,24.52,24,24.08,13600
AFT,27-Sep-2018,16,16.06,16,16.045,58500
AFTY,27-Sep-2018,15.08,15.23,15.08,15.2,6200
AG,27-Sep-2018,5.51,5.59,5.37,5.51,2402900
AGCO,27-Sep-2018,61.37,61.935,60.52,60.79,634600
AGD,27-Sep-2018,10.44,10.44,10.39,10.39,49100
AGEN,27-Sep-2018,2.14,2.2,2.12,2.14,757300
AGFS,27-Sep-2018,6.56,6.62,6.45,6.52,120500
